blocks, threads, elements,runtime
1, 1, 1,4.560439825057983
1, 1, 4,4.587965250015259
1, 1, 16,4.549238920211792
1, 1, 64,4.614914178848267
1, 1, 256,4.8032026290893555
1, 4, 1,4.589372396469116
1, 4, 4,4.562153577804565
1, 4, 16,4.586965084075928
1, 4, 64,4.559335231781006
1, 4, 256,5.088643312454224
1, 16, 1,4.554551124572754
1, 16, 4,4.570990800857544
1, 16, 16,4.593151807785034
1, 16, 64,4.652085781097412
1, 16, 256,5.200481414794922
1, 64, 1,4.534957647323608
1, 64, 4,4.54125189781189
1, 64, 16,4.590123176574707
1, 64, 64,4.607059717178345
1, 64, 256,5.189187526702881
1, 256, 1,4.570799827575684
1, 256, 4,4.545595407485962
1, 256, 16,4.591046094894409
1, 256, 64,4.738240003585815
1, 256, 256,5.406729459762573
1, 1024, 1,4.549997329711914
1, 1024, 4,4.593828916549683
1, 1024, 16,4.695796012878418
1, 1024, 64,5.38918399810791
1, 1024, 256,5.898076295852661
4, 1, 1,4.513940095901489
4, 1, 4,4.572561025619507
4, 1, 16,4.580537557601929
4, 1, 64,4.558675289154053
4, 1, 256,5.15051531791687
4, 4, 1,4.515822887420654
4, 4, 4,4.5661780834198
4, 4, 16,4.549791097640991
4, 4, 64,4.613649129867554
4, 4, 256,5.125483989715576
4, 16, 1,4.573285102844238
4, 16, 4,4.52813720703125
4, 16, 16,4.525154113769531
4, 16, 64,4.639678955078125
4, 16, 256,5.208920478820801
4, 64, 1,4.549508571624756
4, 64, 4,4.532254934310913
4, 64, 16,4.591196060180664
4, 64, 64,4.680267810821533
4, 64, 256,5.232909440994263
4, 256, 1,4.6023781299591064
4, 256, 4,4.574306011199951
4, 256, 16,4.589341402053833
4, 256, 64,4.764838933944702
4, 256, 256,5.449343204498291
4, 1024, 1,4.542787075042725
4, 1024, 4,4.571559190750122
4, 1024, 16,4.728010416030884
4, 1024, 64,5.354471206665039
4, 1024, 256,5.900905132293701
8, 1, 1,4.498844861984253
8, 1, 4,4.521311521530151
8, 1, 16,4.554673433303833
8, 1, 64,4.555074691772461
8, 1, 256,5.128860235214233
8, 4, 1,4.5431694984436035
8, 4, 4,4.586021184921265
8, 4, 16,4.606082916259766
8, 4, 64,4.630747079849243
8, 4, 256,5.229349613189697
8, 16, 1,4.612708330154419
8, 16, 4,4.608546495437622
8, 16, 16,4.52019190788269
8, 16, 64,4.649983644485474
8, 16, 256,5.234639883041382
8, 64, 1,4.556924819946289
8, 64, 4,4.579495429992676
8, 64, 16,4.539346933364868
8, 64, 64,4.656954288482666
8, 64, 256,5.224124431610107
8, 256, 1,4.5809783935546875
8, 256, 4,4.547854661941528
8, 256, 16,4.552476644515991
8, 256, 64,4.754562139511108
8, 256, 256,5.403664588928223
8, 1024, 1,4.597555637359619
8, 1024, 4,4.572468280792236
8, 1024, 16,4.733278751373291
8, 1024, 64,5.38276219367981
8, 1024, 256,5.941246032714844
32, 1, 1,4.489577293395996
32, 1, 4,4.506404638290405
32, 1, 16,4.544771909713745
32, 1, 64,4.6286492347717285
32, 1, 256,5.110386371612549
32, 4, 1,4.6013946533203125
32, 4, 4,4.595094680786133
32, 4, 16,4.597916603088379
32, 4, 64,4.843444347381592
32, 4, 256,5.2666778564453125
32, 16, 1,4.699625015258789
32, 16, 4,4.631944179534912
32, 16, 16,4.6780126094818115
32, 16, 64,4.701147556304932
32, 16, 256,5.33007025718689
32, 64, 1,4.673379421234131
32, 64, 4,4.675616264343262
32, 64, 16,4.654308319091797
32, 64, 64,4.762417316436768
32, 64, 256,5.26994776725769
32, 256, 1,4.606079578399658
32, 256, 4,4.552915573120117
32, 256, 16,4.621844053268433
32, 256, 64,4.785276174545288
32, 256, 256,5.583568334579468
32, 1024, 1,4.665521144866943
32, 1024, 4,4.601422309875488
32, 1024, 16,4.81032133102417
32, 1024, 64,5.434155464172363
32, 1024, 256,5.9599854946136475
128, 1, 1,4.501126289367676
128, 1, 4,4.598480463027954
128, 1, 16,4.613921880722046
128, 1, 64,4.7503767013549805
